"Profile","Respondent_1","Respondent_2","Respondent_3","Respondent_4","Respondent_5","Respondent_6","Respondent_7","Respondent_8","Respondent_9","Respondent_10","Respondent_11","Respondent_12","Respondent_13","Respondent_14","Respondent_15","Respondent_16","Respondent_17","Respondent_18","Respondent_19","Respondent_20","Respondent_21","Respondent_22","Respondent_23","Respondent_24","Respondent_25","Respondent_26","Respondent_27","Respondent_28","Respondent_29","Respondent_30","Respondent_31","Respondent_32","Respondent_33","Respondent_34","Respondent_35","Respondent_36","Respondent_37","Respondent_38","Respondent_39","Respondent_40","Respondent_41","Respondent_42","Respondent_43","Respondent_44","Respondent_45","Respondent_46","Respondent_47","Respondent_48","Respondent_49","Respondent_50","Respondent_51","Respondent_52","Respondent_53","Respondent_54","Respondent_55","Respondent_56","Respondent_57","Respondent_58","Respondent_59","Respondent_60","Respondent_61","Respondent_62","Respondent_63","Respondent_64","Respondent_65","Respondent_66","Respondent_67","Respondent_68","Respondent_69","Respondent_70","Respondent_71","Respondent_72","Respondent_73","Respondent_74","Respondent_75","Respondent_76","Respondent_77","Respondent_78","Respondent_79","Respondent_80","Respondent_81","Respondent_82","Respondent_83","Respondent_84","Respondent_85","Respondent_86","Respondent_87","Respondent_88","Respondent_89","Respondent_90","Respondent_91","Respondent_92","Respondent_93","Respondent_94","Respondent_95","Respondent_96","Respondent_97","Respondent_98","Respondent_99","Respondent_100"
11,70,81,84,83,73,100,71,44,69,40,45,100,100,33,87,100,58,83,64,66,93,92,71,49,54,59,55,70,100,72,100,51,75,54,64,59,65,39,73,86,50,37,87,37,94,49,3,76,22,56,57,55,84,100,61,49,90,81,79,22,77,53,47,100,28,67,55,73,81,90,61,47,96,31,60,87,69,64,100,47,66,88,77,81,52,49,60,77,87,68,24,57,64,55,79,80,62,27,65,45
12,14,21,43,31,78,37,78,27,1,43,13,19,47,43,50,68,27,25,31,21,54,48,46,83,57,34,48,41,30,65,56,43,46,53,64,40,58,58,3,58,56,47,32,38,65,30,45,70,18,14,37,14,48,79,39,77,41,58,2,27,51,38,8,43,34,41,98,52,38,41,62,17,15,6,11,77,39,84,24,76,24,23,58,19,19,12,67,53,74,84,47,47,58,27,44,44,73,32,58,50
13,35,85,65,73,71,44,53,54,88,41,7,63,78,82,77,53,56,58,55,100,61,66,55,65,92,50,54,36,24,100,52,43,59,37,79,63,1,43,61,80,84,14,66,78,56,23,78,70,57,100,46,56,54,53,71,49,82,71,69,56,11,35,85,80,78,27,73,32,74,66,75,66,76,77,56,49,51,83,54,48,20,46,62,32,79,49,13,45,87,86,48,96,54,41,78,49,61,100,63,24
14,50,48,81,54,51,72,46,82,89,23,60,96,52,82,40,65,68,62,61,99,46,22,51,45,82,74,54,60,54,80,40,68,72,47,74,92,82,79,50,60,52,30,60,63,35,43,64,60,45,57,47,100,70,61,85,61,71,45,78,78,24,67,62,46,63,69,67,77,81,52,57,42,73,24,74,90,56,53,81,94,54,72,67,44,84,60,61,56,49,88,100,62,24,44,40,60,80,54,71,68
15,70,52,19,100,31,32,18,8,46,22,49,33,51,31,52,54,46,20,44,58,55,45,51,23,68,52,37,13,78,18,53,59,33,44,59,49,32,17,65,62,34,7,41,49,32,7,50,63,53,72,41,73,61,32,65,17,48,49,60,34,48,15,33,67,59,51,70,27,35,66,32,49,48,21,67,62,9,78,27,54,9,62,3,13,27,20,62,68,19,23,45,56,69,42,21,53,67,64,67,30
16,53,5,33,1,5,34,1,37,15,32,14,11,22,42,24,29,1,7,24,4,21,4,19,29,32,22,4,1,48,31,1,15,1,61,18,54,40,23,15,9,1,33,7,34,39,9,24,4,24,22,35,20,29,30,23,1,19,21,1,39,9,1,38,20,39,29,17,1,32,37,6,38,8,1,53,17,16,1,1,43,39,2,1,1,36,16,13,29,1,44,12,19,20,28,1,42,7,8,29,33
17,50,94,80,100,96,50,73,100,33,66,69,100,49,64,72,78,50,95,73,66,84,52,63,65,82,76,44,100,86,90,31,79,81,67,88,91,91,57,59,73,86,41,71,82,87,58,75,59,46,72,48,24,58,91,75,96,96,57,43,53,61,70,51,67,50,82,100,58,70,76,46,46,49,70,83,100,91,61,48,38,63,93,63,37,55,52,92,86,83,63,43,42,84,54,58,76,56,86,84,79
18,43,92,20,52,18,54,75,61,66,67,73,54,68,56,44,61,95,89,72,97,71,71,36,29,80,73,50,54,73,54,62,85,42,68,58,43,100,100,65,85,69,92,43,16,62,50,5,75,18,33,41,25,42,30,82,41,100,68,45,5,46,53,86,52,50,75,84,44,4,62,64,1,59,32,46,100,75,38,19,35,11,75,23,59,51,25,77,83,50,52,32,55,50,41,23,79,57,55,87,57
19,100,100,83,100,100,88,64,83,100,78,100,76,100,100,100,76,100,100,100,100,96,100,75,100,100,100,82,100,100,92,87,96,98,97,100,100,100,86,86,100,100,82,100,94,94,53,98,97,60,100,71,77,94,98,100,68,93,89,100,100,99,99,100,100,100,95,100,93,100,100,91,70,96,100,87,91,100,89,90,92,78,93,86,91,100,100,39,88,88,82,100,100,88,81,87,100,91,94,100,92
20,89,55,75,82,75,83,55,58,70,62,74,64,92,83,85,79,65,90,74,97,69,76,75,89,77,77,69,100,94,100,90,69,59,68,52,87,100,100,73,66,96,62,89,76,100,50,71,70,47,88,68,61,69,19,75,70,82,85,68,100,100,51,87,83,100,69,81,76,64,48,87,72,50,90,78,43,95,56,27,76,70,51,32,54,75,55,73,75,56,70,76,80,100,70,87,73,85,86,77,86
21,63,100,69,71,13,72,69,64,52,24,82,67,79,69,100,93,83,58,81,94,89,30,79,43,79,78,76,31,72,61,76,76,76,77,55,47,29,65,99,75,60,56,53,45,86,53,64,70,45,54,68,52,100,33,89,33,50,29,71,61,74,88,74,44,55,80,97,100,44,55,91,70,30,34,81,61,63,44,100,82,56,75,58,51,81,47,63,82,56,57,92,71,97,76,40,72,89,92,92,70
22,100,68,59,90,78,100,77,97,69,87,33,32,95,100,67,91,100,61,83,81,100,44,100,61,100,86,100,42,72,100,66,92,91,37,79,66,82,79,73,79,82,37,90,100,89,66,72,95,29,72,84,90,93,25,93,67,50,51,100,71,69,76,27,64,61,90,95,97,77,63,58,53,41,74,89,71,71,91,53,100,100,87,64,84,77,81,100,86,83,68,87,100,75,76,94,87,100,100,94,84
